# RS;CS;LS;MS;PS;HS:1:0;CoS
2.616400000000000148e+01;4.655100000000000193e+01;3.035399999999999920e+01;4.557699999999999818e+01;4.397500000000000142e+01;2.340537500000000293e+01;7.379500000000000171e+01
1.204500000000000028e+02;1.401299999999999955e+02;1.082300000000000040e+02;1.342299999999999898e+02;1.241400000000000006e+02;1.187141666666666708e+02;1.428700000000000045e+02
6.203600000000000136e+01;7.862199999999999989e+01;7.469599999999999795e+01;8.448699999999999477e+01;4.090400000000000347e+01;2.465035600000000215e+01;4.803799999999999670e+01
4.747899999999999920e+01;6.206499999999999773e+01;7.490999999999999659e+01;5.105499999999999972e+01;2.417299999999999827e+01;2.248711111111111194e+01;4.172699999999999676e+01
1.176899999999999977e+02;7.141100000000000136e+01;6.745099999999999341e+01;1.140400000000000063e+02;8.295000000000000284e+01;1.401558461538461700e+02;8.915900000000000603e+01
3.613000000000000256e+01;9.607699999999999818e+01;6.243399999999999750e+01;6.880400000000000205e+01;8.686299999999999955e+01;5.509070833333333894e+01;8.710500000000000398e+01
7.124500000000000455e+01;9.277700000000000102e+01;8.534699999999999420e+01;1.371500000000000057e+02;1.065300000000000011e+02;5.744267999999998153e+01;1.213400000000000034e+02
7.756300000000000239e+01;9.157800000000000296e+01;6.588100000000000023e+01;1.468799999999999955e+02;1.077500000000000000e+02;7.739099999999999113e+01;1.221899999999999977e+02
1.159699999999999953e+01;1.728999999999999915e+01;1.073799999999999955e+01;3.504800000000000182e+01;1.762199999999999989e+01;2.490791538461538224e+01;2.644500000000000028e+01
9.704000000000000625e+01;1.145100000000000051e+02;8.230899999999999750e+01;1.668899999999999864e+02;9.424800000000000466e+01;6.893920000000001380e+01;1.222399999999999949e+02
4.275000000000000000e+01;1.055400000000000063e+02;8.042900000000000205e+01;6.252799999999999869e+01;5.536399999999999721e+01;7.929436000000001172e+01;5.770600000000000307e+01
4.074499999999999744e+01;4.347699999999999676e+01;2.411199999999999832e+01;2.595100000000000051e+01;3.508899999999999864e+01;4.182800000000000296e+01;3.202400000000000091e+01
6.602599999999999625e+01;7.016100000000000136e+01;4.784899999999999665e+01;1.162900000000000063e+02;5.990200000000000102e+01;1.212973461538461493e+02;8.683199999999999363e+01
4.590999999999999659e+01;6.589199999999999591e+01;6.955500000000000682e+01;7.180899999999999750e+01;5.638799999999999812e+01;1.781762499999999960e+01;6.289900000000000091e+01
1.757199999999999989e+02;1.927500000000000000e+02;2.023199999999999932e+02;1.923799999999999955e+02;2.068100000000000023e+02;3.510270833333333940e+01;1.972599999999999909e+02
6.169100000000000250e+01;6.687699999999999534e+01;7.637099999999999511e+01;1.777899999999999920e+02;6.203600000000000136e+01;9.749946153846154573e+01;7.462999999999999545e+01
1.582899999999999920e+02;6.768099999999999739e+01;1.251200000000000045e+02;9.280599999999999739e+01;1.327599999999999909e+02;1.345838333333333310e+02;1.536299999999999955e+02
7.097100000000000364e+01;7.660599999999999454e+01;6.335699999999999932e+01;1.093499999999999943e+02;8.766100000000000136e+01;8.159603846153845552e+01;9.371399999999999864e+01
1.215699999999999932e+02;1.425900000000000034e+02;8.689199999999999591e+01;1.586399999999999864e+02;1.163799999999999955e+02;1.808308846153846332e+02;1.854000000000000057e+02
8.659900000000000375e+01;9.360899999999999466e+01;6.327400000000000091e+01;1.496800000000000068e+02;9.453499999999999659e+01;1.445547199999999748e+02;1.679499999999999886e+02
6.449099999999999966e+01;6.421200000000000330e+01;5.241100000000000136e+01;9.623900000000000432e+01;5.354299999999999926e+01;7.636379166666667118e+01;6.757999999999999829e+01
8.729099999999999682e+01;1.003799999999999955e+02;9.735999999999999943e+01;8.542700000000000671e+01;1.071400000000000006e+02;7.850985185185184889e+01;9.218699999999999761e+01
8.894700000000000273e+01;8.786799999999999500e+01;7.130800000000000693e+01;9.805599999999999739e+01;6.966800000000000637e+01;8.036287499999998829e+01;8.013500000000000512e+01
7.176300000000000523e+01;7.851500000000000057e+01;5.649499999999999744e+01;8.529300000000000637e+01;6.165899999999999892e+01;6.927772000000000219e+01;6.639000000000000057e+01
6.118699999999999761e+01;5.669899999999999807e+01;4.373899999999999721e+01;8.828100000000000591e+01;4.185699999999999932e+01;8.112520833333333314e+01;4.650099999999999767e+01
4.612800000000000011e+01;2.908299999999999841e+01;2.382900000000000063e+01;7.389199999999999591e+01;2.461899999999999977e+01;6.761149999999999238e+01;3.617799999999999727e+01
5.813400000000000034e+01;5.640400000000000347e+01;4.632699999999999818e+01;7.353400000000000603e+01;4.353699999999999903e+01;7.198604166666666515e+01;4.709300000000000352e+01
8.871299999999999386e+01;8.088200000000000500e+01;7.168699999999999761e+01;1.196599999999999966e+02;7.029099999999999682e+01;7.513052173913042964e+01;8.102599999999999625e+01
5.759700000000000131e+01;6.559099999999999397e+01;5.704099999999999682e+01;1.030000000000000000e+02;6.555200000000000671e+01;7.434946153846152583e+01;7.375900000000000034e+01
1.625000000000000000e+02;1.277699999999999960e+02;6.778400000000000603e+01;6.511700000000000443e+01;9.830599999999999739e+01;1.360791666666666799e+02;5.675099999999999767e+01
5.435000000000000142e+01;5.618999999999999773e+01;6.614400000000000546e+01;9.159999999999999432e+01;4.989500000000000313e+01;7.689120000000001198e+01;5.419700000000000273e+01
7.138899999999999579e+01;7.157299999999999329e+01;4.895400000000000063e+01;7.981600000000000250e+01;5.800200000000000244e+01;8.610112499999999613e+01;4.346500000000000341e+01
2.001000000000000156e+01;3.643599999999999994e+01;4.356300000000000239e+01;3.523199999999999932e+01;4.299199999999999733e+01;4.222658333333333047e+01;2.051599999999999824e+01
3.676500000000000057e+01;3.818599999999999994e+01;3.637700000000000244e+01;6.336399999999999721e+01;2.411799999999999855e+01;4.852084000000000685e+01;5.379399999999999693e+01
4.952400000000000091e+01;9.074200000000000443e+01;6.319500000000000028e+01;1.113400000000000034e+02;6.758199999999999363e+01;7.955946153846154800e+01;4.732699999999999818e+01
4.789800000000000324e+01;2.207600000000000051e+01;2.330900000000000105e+01;4.339699999999999847e+01;2.164399999999999835e+01;4.354858333333334031e+01;4.313400000000000034e+01
2.323100000000000165e+01;1.432099999999999973e+01;1.894500000000000028e+01;2.232300000000000040e+01;1.263499999999999979e+01;2.577782608695652300e+01;1.716600000000000037e+01
4.626800000000000068e+01;6.491400000000000148e+01;3.689699999999999847e+01;1.129899999999999949e+02;6.370000000000000284e+01;8.281395833333331780e+01;6.729099999999999682e+01
1.033199999999999932e+02;1.222600000000000051e+02;1.162800000000000011e+02;1.352299999999999898e+02;1.241899999999999977e+02;7.536741666666665651e+01;1.133799999999999955e+02
7.836899999999999977e+01;6.585899999999999466e+01;5.678799999999999670e+01;1.089599999999999937e+02;6.469899999999999807e+01;6.094583333333333997e+01;6.661899999999999977e+01
3.791599999999999682e+01;6.340299999999999869e+01;5.114099999999999824e+01;1.362899999999999920e+02;7.224500000000000455e+01;7.659384000000000015e+01;1.003499999999999943e+02
2.746600000000000108e+01;5.899000000000000199e+01;2.302499999999999858e+01;6.126299999999999812e+01;4.787199999999999989e+01;4.466170370370370790e+01;3.426400000000000290e+01
3.091199999999999903e+01;6.453799999999999670e+01;4.661399999999999721e+01;6.169500000000000028e+01;4.147099999999999653e+01;3.768526923076922941e+01;4.871800000000000352e+01
4.925000000000000000e+01;4.090599999999999881e+01;5.757800000000000296e+01;1.548700000000000045e+02;1.239300000000000068e+02;5.409991666666667243e+01;1.512700000000000102e+02
5.029399999999999693e+01;5.618200000000000216e+01;7.194799999999999329e+01;1.261099999999999994e+02;1.061200000000000045e+02;4.638292592592591745e+01;7.143899999999999295e+01
3.367799999999999727e+01;4.620100000000000051e+01;2.748799999999999955e+01;3.541499999999999915e+01;2.038299999999999912e+01;2.000412000000000035e+01;3.329299999999999926e+01
3.273199999999999932e+01;4.219500000000000028e+01;2.745299999999999940e+01;2.671199999999999974e+01;1.549399999999999977e+01;1.526239599999999719e+01;2.337600000000000122e+01
2.030900000000000105e+01;5.752799999999999869e+01;1.393999999999999950e+01;8.149599999999999511e+01;4.051500000000000057e+01;4.678664000000000556e+01;8.458400000000000318e+01
3.709899999999999665e+01;5.917099999999999937e+01;3.294500000000000028e+01;4.587199999999999989e+01;2.179400000000000048e+01;2.544375999999999749e+01;3.748400000000000176e+01
4.205100000000000193e+01;4.237700000000000244e+01;6.055899999999999750e+01;1.526800000000000068e+02;8.604399999999999693e+01;6.302843999999999625e+01;1.464900000000000091e+02
1.301699999999999946e+01;3.422200000000000131e+01;1.752799999999999869e+01;5.220400000000000063e+01;3.866899999999999693e+01;2.560829166666666978e+01;4.992900000000000205e+01
1.579199999999999982e+01;2.248900000000000077e+01;2.149599999999999866e+01;2.314199999999999946e+01;1.885099999999999909e+01;1.774141666666666595e+01;1.951200000000000045e+01
9.595900000000000318e+00;2.957199999999999918e+01;1.442999999999999972e+01;3.158200000000000074e+01;1.919099999999999895e+01;1.948863461538461905e+01;3.087399999999999878e+01
6.101899999999999835e+01;6.980400000000000205e+01;8.266200000000000614e+01;1.519399999999999977e+02;1.070900000000000034e+02;6.896991999999998768e+01;1.612500000000000000e+02
2.021999999999999886e+01;3.496300000000000097e+01;2.381299999999999883e+01;5.711399999999999721e+01;3.837800000000000011e+01;2.446970833333333317e+01;5.293699999999999761e+01
7.568200000000000216e+01;7.887000000000000455e+01;8.302700000000000102e+01;1.637899999999999920e+02;8.819700000000000273e+01;7.308183999999999969e+01;1.716100000000000136e+02
6.400900000000000034e+01;5.926200000000000045e+01;8.781799999999999784e+01;1.614600000000000080e+02;1.175000000000000000e+02;6.788804000000000372e+01;1.803499999999999943e+02
2.281400000000000006e+01;3.387599999999999767e+01;1.971000000000000085e+01;4.673199999999999932e+01;2.123999999999999844e+01;1.597194166666666604e+01;4.213300000000000267e+01
