# RS;CS;LS;MS;PS
5.078998810939360231e-01;6.159398335315101614e-01;6.262394768133174860e-01;5.562753864447084196e-01;5.858332936979787631e-01
5.000896990740740788e-01;5.203684413580245138e-01;6.247769579475310753e-01;4.817520254629630294e-01;6.109736689814815325e-01
4.860504132231405761e-01;5.420859504132231610e-01;5.558636363636363376e-01;5.731690082644625983e-01;6.082243801652895687e-01
5.109587062827076753e-01;6.417466899253625456e-01;6.367148045411652468e-01;5.172558551860220177e-01;5.837466041350911627e-01
4.792923553719010688e-01;6.083557162534435347e-01;5.838578971533514572e-01;4.804496671258036145e-01;5.779643021120294266e-01
5.011918904958676535e-01;6.681727789256198813e-01;6.234003744834710758e-01;5.768822636880163168e-01;5.911972172004132942e-01
4.941944369793068725e-01;6.047776135447459067e-01;5.890657753292126708e-01;5.248115425960763192e-01;5.678856490190810069e-01
4.854539715335168815e-01;6.194332529843898927e-01;6.412072428833789361e-01;5.000000000000000000e-01;5.409217171717171091e-01
4.979666666666666686e-01;6.669864197530869232e-01;7.304209876543210633e-01;5.498703703703704537e-01;4.855530864197528107e-01
4.901286002763311500e-01;5.888144329896904949e-01;7.000653629503666986e-01;5.148719311297696999e-01;5.293798490806673751e-01
5.191154320987650950e-01;6.306308641975306717e-01;6.286043209876543969e-01;5.714123456790125566e-01;6.017907407407406817e-01
4.866191893424036130e-01;5.465667517006803644e-01;6.741007653061222848e-01;6.100602324263038057e-01;5.480817743764173633e-01
5.164705882352941257e-01;5.452318339100346023e-01;6.810048442906574406e-01;5.747958477508651187e-01;5.847370242214532388e-01
5.329059903047088653e-01;4.815425900277009452e-01;7.170844875346259473e-01;5.064897853185594823e-01;5.619788781163438385e-01
5.133695005945305700e-01;6.653314506539835804e-01;6.992568370986922410e-01;6.378299643281808429e-01;6.156495243757431624e-01
4.871806189248162888e-01;5.000213251339018505e-01;6.085231104939496927e-01;5.534891390597102001e-01;6.201026582027373557e-01
5.057443358407277545e-01;6.285187604161974750e-01;6.325095716409170343e-01;5.378940137831628165e-01;6.292173775956036996e-01
4.694558756287150469e-01;5.554183813443073214e-01;5.452674897119340613e-01;5.423228166438043285e-01;5.899283645785705632e-01
5.124341385405267735e-01;6.154662907162697927e-01;6.039159161686725730e-01;5.627615520579077879e-01;5.647761131217911013e-01
4.818323863636363447e-01;6.486124741735537214e-01;6.957889979338844899e-01;5.560065857438017956e-01;5.943110795454545903e-01
5.169569396386005655e-01;5.907117454825066005e-01;5.750595924644366086e-01;5.363687043444831382e-01;6.078474625144175691e-01
5.130275390624998710e-01;6.728298828125000020e-01;6.943830078124999527e-01;5.503646484375001036e-01;6.361634765625001631e-01
5.004106949702541440e-01;6.639610938345050783e-01;6.775103096268254577e-01;5.000000000000000000e-01;6.549241143861547210e-01
4.595859053497943769e-01;6.013867455418380192e-01;6.150690157750343667e-01;5.456622942386831765e-01;6.202130486968452372e-01
5.001909090909090194e-01;5.532719008264459504e-01;5.908537190082645552e-01;5.785301652892560487e-01;5.613652892561985519e-01
5.088262226847034553e-01;6.064324661810612804e-01;5.754926118626425557e-01;5.297298647242453251e-01;6.174004162330907208e-01
5.172418116585009162e-01;6.743707804482849122e-01;6.581466764399520608e-01;5.851616449982638413e-01;6.418539022414259110e-01
4.820445415879016093e-01;4.671945888468808095e-01;5.925112240075613990e-01;5.890140595463139173e-01;5.431769848771267339e-01
5.134199420508943623e-01;5.767472915091962360e-01;6.200935374149659784e-01;5.863479465860418349e-01;5.625040942302846902e-01
4.896891920033318857e-01;4.877285506039150120e-01;5.565431070387341084e-01;5.398099750104121686e-01;4.886521241149519579e-01
5.010539940828397931e-01;5.568357063609468138e-01;5.870326368343191659e-01;5.000000000000000000e-01;5.175508505917157942e-01
5.010615374446427683e-01;6.101153413973162687e-01;6.012261220173178433e-01;5.945257452574527202e-01;5.676944940181108956e-01
5.211518595041320090e-01;5.933029155188246362e-01;6.737930440771351392e-01;5.750763314967858308e-01;5.779668847566575840e-01
5.149660000000000348e-01;5.887731111111111915e-01;6.459735555555559117e-01;5.287799999999996947e-01;6.075006666666665778e-01
4.709363852556481822e-01;6.049052467300830571e-01;6.052842598097504245e-01;5.377682818073722393e-01;5.715829369797860160e-01
4.867507804370447833e-01;5.686020421436005501e-01;5.850087799167532632e-01;5.552055150884495083e-01;5.418854058272629670e-01
5.028085616834317984e-01;5.605979014915020153e-01;5.970365071106484844e-01;5.506516649323621726e-01;5.821908602150537293e-01
5.298696844993139310e-01;5.537761488340190441e-01;6.531974451303150797e-01;5.740054869684501071e-01;5.745829046639232551e-01
4.821100917431192512e-01;6.254578739163370038e-01;6.088313273293496364e-01;5.000000000000000000e-01;6.081857587745136406e-01
4.992342952806124168e-01;5.757856345663262543e-01;5.751821588010203046e-01;5.263946906887753130e-01;5.545611447704081876e-01
5.084185791015625178e-01;5.994226074218750311e-01;6.414358520507812411e-01;5.633471679687499512e-01;5.263287353515625488e-01
4.950921487603305859e-01;5.118578512396694258e-01;5.974103305785124496e-01;5.008921487603302802e-01;6.031582644628099565e-01
5.184429588820208545e-01;5.898797366299380895e-01;6.548521902714322662e-01;6.283411717280300568e-01;5.923259876377319211e-01
5.133120585176950135e-01;6.063223851697803202e-01;6.184497472121623929e-01;5.065907705546990325e-01;5.532939510201155819e-01
4.844570245921597240e-01;6.127794010226442767e-01;6.260210210210209736e-01;5.702438925411896786e-01;6.046716987257524378e-01
5.323122499230532600e-01;5.229028162511540900e-01;6.036303477993228972e-01;5.440985687903971968e-01;5.511411203447216245e-01
5.260190664036819008e-01;6.610944690992769379e-01;6.355976742274819236e-01;5.473761094674557404e-01;6.142632314266930349e-01
5.156505874437141701e-01;6.272920656280733809e-01;6.182293877128514081e-01;5.831341545468661236e-01;5.802409295585114757e-01
4.798437500000000688e-01;6.346210937499998650e-01;6.637384765624999572e-01;5.553523437499999771e-01;5.638468749999998586e-01
5.013514417360283026e-01;5.850958680142690493e-01;5.798067776456599098e-01;5.372595868014268250e-01;5.683977407847801144e-01
4.874196470162000527e-01;6.157147663164435070e-01;6.044635370840019117e-01;5.649435847005849221e-01;5.822529889757260824e-01
5.004271999999999609e-01;4.437820799999999122e-01;6.115359999999998575e-01;6.395190399999998165e-01;5.959609600000000951e-01
5.104031683873266889e-01;6.252816838732646598e-01;5.739115343538623293e-01;5.186218405126380437e-01;5.798309006763970874e-01
5.101666336044434757e-01;5.007478674866097101e-01;5.778536004760961298e-01;5.715850029755998873e-01;5.123775044634002462e-01
5.240569327929115451e-01;6.070228108210009577e-01;5.801173531906872460e-01;5.832425299274199837e-01;5.521778678480534497e-01
4.879460978147761585e-01;6.481694068678461873e-01;6.706693028095733755e-01;5.927866805411028395e-01;5.787017689906348572e-01
4.912743055555553462e-01;5.639239583333331973e-01;5.692552083333332069e-01;5.579118055555557509e-01;5.695190972222222703e-01
5.193325420014608396e-01;6.565403579254929234e-01;6.849351716581446592e-01;5.000000000000000000e-01;6.021703798392985529e-01
5.043459520866047097e-01;6.487299943198904240e-01;6.787127869290656701e-01;6.374076982191182461e-01;5.616338668181363181e-01
5.216976643598613128e-01;6.186418685121108929e-01;6.339792387543258245e-01;5.223778114186851118e-01;5.939013840830450475e-01
5.030267333984375089e-01;5.572756958007812900e-01;5.157345581054687544e-01;5.000000000000000000e-01;5.647766113281249556e-01
4.962459716633929041e-01;5.246006941133846135e-01;5.179668579927920735e-01;5.444786521996147766e-01;5.259035868881218878e-01
