# PS;GS;RS;LS;MS;CS
2.970967137765112653e+01;6.839614743647757678e+01;1.020121231514995896e+00;3.199988711984546086e+01;1.508137416001493758e-01;1.776161599427602056e+01
2.001433951021206692e+00;5.639888496064624057e+00;9.975798691536817975e-01;1.209873770688488293e+01;1.800084797453710694e-01;1.101153779883325079e+01
1.702038887344168749e+00;4.231940580332403279e+00;9.994703351976305106e-01;8.937964046758372305e+00;2.608251615966664105e-01;7.008312411375553275e+00
1.455783282294286662e+00;3.450593026441627131e+00;9.960876040661863495e-01;7.110866024587994438e+00;3.149375735863276793e-01;4.764421724267417169e+00
1.286881619332022497e+00;2.708824470625931014e+00;9.987482118709090084e-01;5.731081860092481328e+00;3.506830424884641029e-01;3.677722017427546675e+00
1.162924351696332126e+00;2.101344639307197060e+00;9.966690696463520460e-01;4.680691003120960758e+00;3.560580609540045516e-01;3.085779411049629051e+00
1.071150519158490910e+00;1.779959366884608096e+00;1.000939063277839880e+00;3.810249242488800814e+00;3.569917376878020132e-01;2.646166786609596588e+00
1.002213104017350531e+00;1.473927814312202322e+00;9.958618568598888166e-01;3.135884840870600598e+00;3.689141323887436541e-01;2.338621453854458743e+00
9.468944270804687813e-01;1.306151048468161768e+00;9.979223447890344101e-01;2.608988695297437488e+00;3.923904017529985522e-01;2.080986366230126894e+00
9.100979713048746866e-01;1.075589202734133609e+00;9.989001526206927606e-01;2.194149616525298274e+00;4.086459594896474923e-01;1.881202504147501342e+00
8.881563388027997608e-01;8.479963311088130062e-01;9.987940132038867214e-01;1.872404259755980904e+00;4.317455318709056411e-01;1.731024062720078138e+00
8.659559472999567298e-01;7.355934258355768529e-01;9.981917512564526529e-01;1.612504645979572881e+00;4.510483649044676469e-01;1.612720929834462691e+00
8.408712287355843973e-01;6.172134235243842415e-01;9.993255641544400714e-01;1.402484633989922624e+00;4.675362502113014629e-01;1.503333960558256965e+00
8.183780705994030402e-01;5.214269141677297936e-01;9.986722007428309178e-01;1.224160454560588862e+00;4.825871415795143227e-01;1.398237240110839164e+00
7.954279565533535212e-01;4.476851769516103086e-01;9.978013565572346755e-01;1.064359470308369859e+00;4.986509519286340675e-01;1.321356835576580790e+00
7.842353479704871067e-01;3.727205720038963555e-01;9.993396027495869971e-01;9.362539616986632618e-01;5.290940440511049392e-01;1.244079732650397840e+00
7.776821908776573311e-01;3.652238390038363702e-01;1.000680915242869062e+00;8.291362392681155269e-01;5.470638707652188959e-01;1.166039472492212292e+00
7.745328891298878249e-01;3.027835913336764939e-01;9.972321591166536381e-01;7.315882485729109375e-01;5.678402335518040189e-01;1.090943197449931512e+00
7.713262477901607905e-01;2.675667449315784485e-01;9.961927207188869815e-01;6.540267655414068182e-01;5.966748079768197099e-01;1.046116871704462437e+00
7.632256672146183751e-01;2.394605453561287345e-01;9.995754134083185694e-01;5.757980813077104854e-01;6.176037065597999032e-01;9.894795710220442020e-01
7.503410032236375038e-01;2.106106929268309336e-01;9.986156722495379556e-01;5.174731065126717544e-01;6.438655725694124587e-01;9.506756852774693733e-01
7.520438883524354079e-01;1.862707280358656126e-01;9.999129920425839924e-01;4.687734163017436839e-01;6.674816500847063905e-01;9.173405770144443805e-01
