# RS;CS;LS;MS;PS
-1.174668749800645640e-03;1.189140911068029965e-01;1.071135248260682710e-01;1.751894879538922478e-01;2.449322646950734816e-01
-8.846836355933081902e-03;-4.864204567587346317e-02;5.402835886152608513e-02;-6.305304930137098363e-02;6.615593752227691415e-02
-2.083975119249653184e-03;3.059127867655670949e-02;6.599255770146239541e-02;1.985519684081836489e-02;5.962185028140801896e-02
1.711689252636689959e-02;1.527813733639817317e-01;1.114736001037016783e-01;2.297605564104820627e-02;1.127936151306105361e-01
-8.967985132944316512e-03;7.766133517210742354e-02;9.966319455149477702e-02;-1.283442036594041949e-02;1.562364774040999882e-01
1.467198365169203322e-02;1.763102728782455220e-01;1.208510188569951460e-01;3.491890420051412675e-02;1.328788907169665690e-01
-2.437976428453037664e-02;6.795137896532428556e-02;8.737958625353592357e-02;1.685821923823973764e-02;1.553406811198795590e-01
1.547106799614539341e-02;2.884436068384136909e-01;1.821012435645611993e-01;0.000000000000000000e+00;3.715489829967001389e-01
-1.604322413068818773e-02;3.241523676855499470e-01;2.704193854663266006e-01;-1.381630504295755339e-03;3.918421624028417538e-02
-1.495446097519442710e-03;2.029069459452775837e-01;2.147328049919509374e-01;-9.670806036115781046e-03;1.717449399584385084e-02
-4.178755125476886836e-03;1.820430820670800864e-01;1.592051480708428224e-01;5.873965378024843115e-02;1.702910283646328071e-01
-1.852903571880936198e-02;1.724807268287439632e-01;1.681952790105984696e-01;6.034516941951189456e-02;1.340526633191955752e-01
-9.045000427829706646e-03;8.648006110185695039e-02;1.572915624597999995e-01;7.858680236840570599e-02;1.228635399439623604e-01
4.279594657524826533e-03;-3.499504404899161231e-02;9.912179555690853183e-02;8.792935592863400721e-03;5.579709537880556819e-02
-1.144786475766629806e-02;2.316613980747485868e-01;2.199870159982509066e-01;7.259492283733710860e-02;2.712655873657228156e-01
-1.053193862272193936e-02;6.111081216154820583e-02;2.501619019883187245e-01;8.017981136963174549e-02;4.963743664496150787e-01
1.681699158006939171e-02;3.300432411971521152e-01;2.176910551820416539e-01;6.679316100855156590e-02;3.389811090052075593e-01
-2.595571864483443153e-02;7.064095283299078043e-02;-6.532561849542858033e-03;3.649525575878148371e-03;9.755800743273027043e-02
2.805141044362853206e-02;3.136329640253601170e-01;1.269380467812866731e-01;3.088277223158579221e-01;4.367059432705412969e-01
-2.479055242962398611e-02;4.081990360496484671e-01;2.828407503882663376e-01;1.096625116488425256e-01;2.721430704149395696e-01
-6.678643519934770317e-03;2.166099516428794947e-01;1.223397146461150387e-01;1.258517364242270342e-01;1.733111619273891291e-01
1.491473757939580647e-02;4.303609100867364923e-01;4.514130043298044126e-01;7.077784918093522892e-02;1.551564444975633283e-01
-1.319204423551496343e-02;4.412234459332934899e-01;3.912141025767831848e-01;0.000000000000000000e+00;2.391552035553119182e-01
-8.914502896065669077e-03;1.500583476753431511e-01;1.825908040842728897e-01;6.057310059444974415e-02;9.567313120204505583e-02
-1.303625804178818945e-02;1.257770887211116240e-01;6.917614704869116948e-02;2.653393101283628777e-02;1.395171458467546477e-01
-6.733654442894979747e-03;1.853852958406004559e-01;2.344082223990676950e-01;1.009556260899273777e-01;3.002047544720542471e-01
7.963772209703014540e-03;3.202181967910575078e-01;2.975248514756298479e-01;3.423178431459604765e-01;2.364626991776250242e-01
-1.690729844140204802e-02;-1.396927581306151196e-02;9.963696263278547238e-02;3.996014849649395795e-02;1.785820573063310879e-01
2.095814899947390632e-04;1.531579959324574636e-01;2.534679774689382881e-01;2.301872904513809492e-01;2.476382588249234074e-01
-1.242063745540371821e-02;-5.243980117220521653e-02;1.239734248569269309e-01;-1.213654612220210066e-02;3.556223847630901602e-02
-1.711250158968713464e-02;1.140197903557964854e-01;1.559925755157073879e-01;0.000000000000000000e+00;1.494446163520412874e-01
-7.799392615319224002e-03;2.215963821780368437e-01;1.600179907529655499e-01;2.914188046465725490e-01;1.956297295757328247e-01
1.646723616717075955e-02;2.613593557541972756e-01;1.096975738039256271e-01;1.250243600565914548e-01;1.301625345164562908e-01
9.398717107120325640e-03;3.031678085019210989e-01;1.665361150775110932e-01;4.635270868218459295e-02;1.920265699192654496e-01
-2.367105817418901220e-02;3.279016172449358835e-01;1.828531368618814545e-01;7.767598749932265456e-02;1.039907902329805511e-01
-7.059763548677769058e-05;2.032338523600336344e-01;2.658557488081226272e-01;1.514272614561504859e-01;1.546204690526329917e-01
-1.112315301944711426e-02;8.680235086879936612e-02;1.018738943978953759e-01;1.009530745130790691e-01;1.643104507238467571e-01
2.316091308997490772e-02;2.336678324503901338e-01;3.278493366856147784e-01;1.867003186689839278e-01;2.332806511159093432e-01
-1.077445334230788671e-02;1.671702937995205862e-01;1.679977440620638862e-01;0.000000000000000000e+00;1.613831397311907556e-01
2.371733387263066668e-03;2.195614836405026388e-02;7.417820204763671266e-02;9.554575461980256701e-02;2.059827124359926154e-01
3.107990180757371455e-03;2.190823233488598532e-01;2.485549870672549844e-01;2.126898072422809538e-01;1.437791428308208830e-01
2.525887275417203204e-02;8.991412034284505805e-02;1.408640682399927291e-01;5.036257677738902039e-02;2.779471533887142853e-01
2.113833154469298148e-02;2.915786055852147562e-01;3.118147245922598954e-01;2.836990929718188337e-01;3.278859857891113783e-01
-5.097912083486629518e-03;2.705935875332773910e-01;2.633821421738233859e-01;1.556343125129308891e-01;1.001560613392430410e-01
-1.729195593455318952e-02;2.183130123706509829e-01;2.389435795117027528e-01;1.284358961561976598e-01;2.463611969041571981e-01
-2.524099697228074021e-03;1.029357972122031256e-01;1.590577768848548124e-01;3.881439432966394265e-01;1.745637386748102871e-01
4.553795474352164557e-03;3.956198832830789547e-01;1.984625364544564952e-01;1.487271850914334836e-01;3.059195552719747857e-01
1.717302984254883910e-02;3.457253645784852392e-01;2.042097144320804136e-01;1.598951377445751443e-01;1.148425263130305879e-01
-1.044596251993842179e-02;2.089684462780831975e-01;1.618217942182551550e-01;4.459440157310683855e-02;1.277708899989281055e-01
-7.050590282392995949e-03;2.667992865109017897e-01;1.866635537237362197e-01;1.527967397185497622e-01;1.464660266238105579e-01
1.146390843140060803e-02;3.418066590093164492e-01;2.292461834604452020e-01;2.096397086353968264e-01;1.886763944364312773e-01
3.888117354453471744e-03;-5.822290996080815156e-02;1.885572970077729060e-01;1.668475188116717300e-01;1.721742637024971934e-01
-4.318650441501590762e-03;2.024181244477071540e-01;1.437242670811607892e-01;1.086165451618066463e-01;6.365992120166931445e-02
7.051281455727192483e-03;1.222986141369488272e-01;1.397196418777910676e-01;2.078712786773836418e-01;4.663138622795565125e-02
2.482482557021236172e-02;3.343877862592919414e-01;2.076248724695871906e-01;3.109867315987968617e-01;2.322633021058000957e-01
-5.518434468967818585e-03;3.223253232877417163e-01;3.475358182894623948e-01;1.848183676415855459e-01;4.294651978895359240e-02
-2.702025560497028824e-03;2.558426623941489342e-01;3.780082833737324344e-01;2.441151419189238336e-01;1.861892293329938664e-01
2.818062645217312562e-02;3.905792751365971260e-01;4.919205410315100058e-01;0.000000000000000000e+00;9.105308177312236573e-02
-1.571302619796786926e-02;3.393440618538089981e-01;3.148296452295671344e-01;3.509767440935373517e-01;6.038749578464384232e-02
1.405509246021075355e-03;4.247813771330491983e-01;3.834647860263329378e-01;4.188101134560714978e-02;9.145305107902497455e-02
1.417696327670231460e-02;6.442775384780244363e-02;-8.062063867364530415e-03;0.000000000000000000e+00;5.228766057319109151e-02
2.921922546900720865e-03;6.743660309640671022e-03;1.564044011457578487e-02;1.929739751012818361e-01;2.119557181929014877e-01
-1.608815727888027527e-02;7.616996964774115642e-02;6.711602586793398439e-02;7.226445710308328219e-02;3.808547102881634089e-02
-1.237076774251944476e-02;1.437048362333714913e-01;4.793388317486520223e-02;3.597365852826765048e-02;2.254683336865730484e-02
2.053151676509162513e-02;2.209795124213411732e-01;1.396267916269057496e-01;0.000000000000000000e+00;1.841264610517971967e-01
4.144543101535949452e-03;1.447171078317522064e-01;8.134277290420252604e-02;-2.398125937350684134e-02;-1.700934819062365627e-02
