# RS_fpr;RS_tpr;CS_fpr;CS_tpr;LS_fpr;LS_tpr;MS_fpr;MS_tpr;PS_fpr;PS_tpr
1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;9.997916666666666341e-01;9.997916666666666341e-01;9.614583333333333037e-01;9.614583333333333037e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.915421821836151284e-01;1.915584871980264281e-01;1.723975660639794627e-01;3.761192253594264900e-01;1.739654366316566170e-01;4.168427986594189782e-01;3.150024331571946723e-01;3.927626894423685844e-01;1.745095678973177522e-01;3.669324569236295797e-01
1.124305299005107089e-01;1.125463819753336481e-01;9.426750796937566346e-02;2.569353294067802662e-01;9.592044454665094033e-02;2.905912390859784478e-01;2.511597271240012530e-01;3.135627779329748233e-01;9.649602468637460961e-02;2.509373635581906847e-01
7.420283764579697905e-02;7.436675826614505547e-02;5.931093295446573932e-02;1.884296734369042270e-01;6.014043411558090552e-02;2.123225241346742009e-01;2.200716303994905421e-01;2.693872626587964225e-01;6.069032348689239881e-02;1.820245341092043556e-01
5.329622258033870491e-02;5.353168964373647420e-02;4.113065341283798221e-02;1.466768554816731407e-01;4.153170735445436274e-02;1.615886251117124861e-01;2.030289248526438717e-01;2.427709899506747260e-01;4.208936826951135274e-02;1.387474045884546370e-01
4.048439928859410425e-02;4.067668493315306638e-02;3.042275211046979733e-02;1.182654009691044700e-01;3.062250695731826011e-02;1.271464823900950725e-01;1.926872093516927842e-01;2.253067478877798513e-01;3.116154025871682026e-02;1.100024423747136687e-01
3.211920428034709118e-02;3.235502685395141853e-02;2.357770805895981550e-02;9.859463273239642278e-02;2.364849586870760786e-02;1.029067653858368181e-01;1.858785409682698897e-01;2.129776076918055705e-01;2.418825086515618075e-02;8.962862055822078122e-02
2.630618513612891646e-02;2.664148103421095162e-02;1.892069274455717917e-02;8.382327896701231851e-02;1.890120364189600694e-02;8.490161367139574533e-02;1.811300386679601804e-01;2.040608750363477886e-01;1.941171785401892697e-02;7.473684157575842535e-02
2.190854622935569165e-02;2.211788803442832352e-02;1.557349575028531795e-02;7.232954124044677080e-02;1.551092800397115695e-02;7.143867390502045556e-02;1.776559236726995283e-01;1.971677374898379853e-01;1.600596391670613960e-02;6.335789313815207158e-02
1.866594473823465078e-02;1.880092012704900548e-02;1.305334142481393532e-02;6.307123342032101843e-02;1.298717201770490694e-02;6.088850441717713613e-02;1.749892088917701372e-01;1.918127593159173194e-01;1.340354947005178987e-02;5.404881878213464719e-02
1.628998685556814000e-02;1.630217589656726002e-02;1.092623135578087851e-02;5.419970816578727896e-02;1.082040900036837679e-02;5.116122107134129376e-02;1.728779506935458898e-01;1.872655681058908450e-01;1.123177559451720049e-02;4.582360663982883858e-02
1.443262221308289073e-02;1.443010363151964008e-02;9.205142297256980674e-03;4.669520249894069941e-02;9.124232392132704261e-03;4.356170337173264490e-02;1.711567886712347664e-01;1.834962196106614263e-01;9.511516509056457819e-03;3.924001052377740217e-02
1.290924479309288678e-02;1.293989570405333286e-02;7.818742276357900159e-03;4.035626636194844519e-02;7.749719566912743711e-03;3.707083700361696321e-02;1.697319390096063696e-01;1.802213251369129965e-01;8.109231052896266959e-03;3.352082519922643805e-02
1.161245712449858643e-02;1.166788727292726938e-02;6.671878777821249260e-03;3.474454863695962403e-02;6.607763494074568589e-03;3.141585743697288685e-02;1.685745713402889701e-01;1.774637555347228779e-01;6.935860397078756449e-03;2.847011292642562946e-02
1.045750060841861215e-02;1.055289255495512994e-02;5.735750622528833567e-03;2.984414769456199268e-02;5.658434841834498324e-03;2.669762514338917467e-02;1.676080121522618427e-01;1.750263416801637606e-01;5.972000504619334044e-03;2.433331219207285345e-02
9.409338209051191018e-03;9.461931998963101290e-03;4.961071062455271914e-03;2.542786556791563901e-02;4.863647791159581880e-03;2.254330323103363037e-02;1.667868103461799811e-01;1.729869781520938232e-01;5.167444558459619898e-03;2.073443041293731789e-02
8.431102515765233688e-03;8.465789042340007842e-03;4.292713273822203711e-03;2.152954709321511229e-02;4.192773532858984700e-03;1.880498199094061615e-02;1.660746372813363680e-01;1.710730030838898685e-01;4.486688189779882742e-03;1.750126462712350839e-02
7.505098978136950753e-03;7.516337456805836752e-03;3.730583638483065453e-03;1.815090202937929414e-02;3.616272034047603515e-03;1.546726141110840551e-02;1.654780548732877055e-01;1.694264334706651609e-01;3.905806837656427676e-03;1.474636832616918296e-02
6.621693240431499906e-03;6.648997460887164611e-03;3.241895402842448481e-03;1.490406204570136721e-02;3.131910646399393115e-03;1.258128060825073474e-02;1.649545553573223411e-01;1.679837742825205649e-01;3.402640121178757745e-03;1.219830308038400909e-02
5.770629015993783764e-03;5.826617479803358583e-03;2.643379985366267268e-03;9.385914983939673203e-03;2.893920273999161814e-03;9.133524024514111730e-03;2.030583263445825681e-01;2.051484389238287243e-01;2.936964896410902345e-03;9.106657378400998676e-03
4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04;4.166666666666666934e-04
