# RS;CS;LS;MS;PS
-3.084476675100178769e-02;4.449017295200144995e-01;4.748744656804588238e-01;4.844211087886263201e-01;5.230387611066062981e-01
-2.643548753311020238e-03;8.910604013350989505e-02;4.586562413857900866e-01;-5.792970055278291730e-02;3.331047992172891381e-01
-5.536048168907364841e-02;3.709658082330314355e-01;4.511865735548599710e-01;3.202782683364623351e-01;4.038787993580342794e-01
1.111330374426294648e-01;6.513564716564071988e-01;3.764163177229216672e-01;2.083212882261358534e-01;4.892091269938151354e-01
-7.896033811209703102e-02;2.525161818566298844e-01;5.321820822402631990e-01;-5.412341192750247387e-03;4.337110211985249486e-01
4.922871572174387922e-02;6.705398177689386729e-01;5.044746163899109792e-01;3.403622688513944228e-01;4.029022355095218111e-01
-9.411382010280287813e-02;3.125545781769580866e-01;4.436515415425119624e-01;1.520692489105033574e-01;5.067920316404797010e-01
5.092627913169152365e-02;7.745121859311776547e-01;5.139469830106843107e-01;0.000000000000000000e+00;4.322437956251990454e-01
8.171177286666904405e-02;1.110971479618070523e+00;1.305977759979127129e+00;9.661166160583269102e-02;1.267158895922180784e-01
-9.866595277294773481e-02;7.433494345831229699e-01;8.616976127538727992e-01;2.617237198944438181e-01;1.013448926851802795e-01
-6.913484983444095899e-02;6.099746186501295853e-01;6.122380987875518654e-01;3.343077080840692328e-01;6.640419165699152915e-01
-8.755347487956018082e-02;5.264262138493895904e-01;7.069508378585792618e-01;4.625747795692652375e-01;3.676150767955081444e-01
-5.674334846053161185e-02;5.068380910723654376e-01;7.584577273274368814e-01;4.553503165038807476e-01;5.348504766866527538e-01
1.611399890343838959e-01;9.519640824044160732e-02;6.470504242717569632e-01;1.564491684252811154e-01;3.543253274082409643e-01
4.068576823553858579e-02;1.304943874358750033e+00;1.186499274939360360e+00;2.967559334796956438e-01;9.486980369875772645e-01
-9.575266409047650251e-02;4.362042086844472033e-01;3.599046425359002654e-01;1.882695823339911312e-01;7.764181998646212390e-01
-1.687831762851328340e-02;9.227931950993943921e-01;5.469101968482469323e-01;1.011085324604343028e-01;7.903572380663221875e-01
